GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
simplejava,com.cloudbees.simplejava,App,148,0,2,0,19,0,4,0,3,0
simplejava,com.cloudbees.simplejava,Location,0,139,0,14,0,27,0,24,0,17
